,Flower.ID.Match,Treatment,Sample name
HB01,HB01,Bird,BHB01
HB02,HB02,Bird,BHB02
HB03,HB03,Bird,BHB03
HB04,HB04,Bird,BHB04
HB05,HB05,Bird,BHB05
HB06,HB06,Bird,BHB06
HB07,HB07,Bird,BHB07
HB08,HB08,Bird,BHB08
HB09,HB09,Bird,BHB09
HB10,HB10,Bird,BHB10
HB11,HB11,Bird,BHB11
HB12,HB12,Bird,BHB12
HB13,HB13,Bird,BHB13
HB14,HB14,Bird,BHB14
HB15,HB15,Bird,BHB15
HB16,HB16,Bird,BHB16
HB17,HB17,Bird,BHB17
HB18,HB18,Bird,BHB18
HB19,HB19,Bird,BHB19
HB20,HB20,Bird,BHB20
HB21,HB21,Bird,BHB21
HB22,HB22,Bird,BHB22
HB23,HB23,Bird,BHB23
HB24,HB24,Bird,BHB24
HB25,HB25,Bird,BHB25
HB26,HB26,Bird,BHB26
HB27,HB27,Bird,BHB27
HB28,HB28,Bird,BHB28
HB29,HB29,Bird,BHB29
HB30,HB30,Bird,BHB30
HB31,HB31,Bird,BHB31
HB32,HB32,Bird,BHB32
HB33,HB33,Bird,BHB33
HB34,HB34,Bird,BHB34
HB35,HB35,Bird,BHB35
HB36,HB36,Bird,BHB36
HB37,HB37,Bird,BHB37
HB38,HB38,Bird,BHB38
HB39,HB39,Bird,BHB39
HB40,HB40,Bird,BHB40
HB41,HB41,Bird,BHB41
HB42,HB42,Bird,BHB42
HB43,HB43,Bird,BHB43
HB44,HB44,Bird,BHB44
HB45,HB45,Bird,BHB45
HB46,HB46,Bird,BHB46
HB47,HB47,Bird,BHB47
HB48,HB48,Bird,BHB48
HB49,HB49,Bird,BHB49
HB50,HB50,Bird,BHB50
HB51,HB51,Bird,BHB51
HB52,HB52,Bird,BHB52
HB53,HB53,Bird,BHB53
HB54,HB54,Bird,BHB54
HB55,HB55,Bird,BHB55
HB56,HB56,Bird,BHB56
HB57,HB57,Bird,BHB57
HB58,HB58,Bird,BHB58
HB59,HB59,Bird,BHB59
HB60,HB60,Bird,BHB60
1000,1000,Bagged,B1000
101,101,Exposed,B101
102,102,Bagged,B102
10C2,10C2,Caged,B10C2
10C,10C,Caged,B10C
118,118,Bagged,B118
137,137,Exposed,B137
141,141,Bagged,B141
142,142,Bagged,B142
144,144,Exposed,B144
147,147,Exposed,B147
154,154,Caged,B154
155,155,Caged,B155
156,156,Exposed,B156
161,161,Bagged,B161
164,164,Exposed,B164
165,165,Bagged,B165
16,16,Bagged,B16
173,173,Caged,B173
191,191,Exposed,B191
194,194,Exposed,B194
199,199,Exposed,B199
202,202,Exposed,B202
206,206,Bagged,B206
213,213,Bagged,B213
216,216,Exposed,B216
220,220,Caged,B220
233,233,Bagged,B233
235,235,Exposed,B235
23,23,Bagged,B23
242,242,Exposed,B242
243,243,Bagged,B243
252,252,Exposed,B252
253,253,Exposed,B253
260,260,Caged,B260
268,268,Exposed,B268
278,278,Exposed,B278
284,284,Exposed,B284
286,286,Bagged,B286
28,28,Exposed,B28
293,293,Exposed,B293
298,298,Bagged,B298
300,300,Exposed,B300
309,309,Exposed,B309
314,314,Bagged,B314
329,329,Exposed,B329
32C,32C,Caged,B32C
335,335,Exposed,B335
338a,338a,Exposed,B338a
347,347,Caged,B347
348,348,Caged,B348
356,356,Exposed,B356
358,358,Bagged,B358
365,365,Caged,B365
366,366,Caged,B366
36,36,Bagged,B36
373,373,Exposed,B373
37,37,Exposed,B37
380,380,Caged,B380
381,381,Caged,B381
396,396,Bagged,B396
404,404,Caged,B404
406,406,Exposed,B406
407,407,Exposed,B407
408,408,Bagged,B408
409,409,Bagged,B409
412,412,Caged,B412
413,413,Bagged,B413
421,421,Bagged,B421
423,423,Exposed,B423
449,449,Caged,B449
451,451,Exposed,B451
453,453,Bagged,B453
454,454,Exposed,B454
455,455,Caged,B455
459,459,Bagged,B459
462,462,Bagged,B462
463,463,Bagged,B463
464,464,Caged,B464
465,465,Bagged,B465
473,473,Bagged,B473
475,475,Caged,B475
476,476,Caged,B476
477,477,Exposed,B477
483,483,Caged,B483
492,492,Exposed,B492
497,497,Caged,B497
54,54,Bagged,B54
59C2,59C2,Caged,B59C2
59,59,Bagged,B59
5,5,Bagged,B5
600,600,Bagged,B600
601,601,Bagged,B601
602,602,Bagged,B602
605,605,Bagged,B605
607,607,Bagged,B607
60,60,Bagged,B60
612,612,Bagged,B612
614,614,Bagged,B614
615,615,Bagged,B615
618,618,Caged,B618
61,61,Exposed,B61
620,620,Caged,B620
621,621,Exposed,B621
622,622,Exposed,B622
624,624,Exposed,B624
626,626,Exposed,B626
628,628,Caged,B628
629,629,Exposed,B629
62,62,Bagged,B62
631,631,Exposed,B631
632,632,Bagged,B632
635,635,Exposed,B635
639,639,Bagged,B639
640,640,Caged,B640
641,641,Bagged,B641
642,642,Exposed,B642
643,643,Caged,B643
647,647,Caged,B647
648,648,Caged,B648
649,649,Exposed,B649
650,650,Bagged,B650
652,652,Bagged,B652
654,654,Bagged,B654
655,655,Exposed,B655
656,656,Bagged,B656
658,658,Bagged,B658
6600,6600,Exposed,B6600
661,661,Bagged,B661
664,664,Bagged,B664
666a,666a,Bagged,B666a
667,667,Exposed,B667
668,668,Bagged,B668
66,66,Exposed,B66
671,671,Bagged,B671
675,675,Exposed,B675
680,680,Exposed,B680
681,681,Exposed,B681
682,682,Exposed,B682
684,684,Exposed,B684
685B,685B,Caged,B685B
685,685,Caged,B685
686,686,Exposed,B686
688,688,Caged,B688
689,689,Caged,B689
68,68,Caged,B68
690,690,Exposed,B690
692,692,Exposed,B692
693,693,Caged,B693
695,695,Exposed,B695
696,696,Exposed,B696
697,697,Exposed,B697
699,699,Caged,B699
701,701,Exposed,B701
702,702,Exposed,B702
703,703,Caged,B703
704,704,Caged,B704
706,706,Exposed,B706
707,707,Exposed,B707
708,708,Exposed,B708
70,70,Bagged,B70
710,710,Exposed,B710
71,71,Bagged,B71
7,7,Bagged,B7
800,800,Exposed,B800
805,805,Exposed,B805
806,806,Exposed,B806
809,809,Exposed,B809
80,80,Exposed,B80
811,811,Exposed,B811
812,812,Exposed,B812
813,813,Exposed,B813
814a,814a,Exposed,B814a
818,818,Exposed,B818
820,820,Exposed,B820
823,823,Exposed,B823
824,824,Exposed,B824
826,826,Exposed,B826
827,827,Exposed,B827
829,829,Exposed,B829
82,82,Caged,B82
830,830,Exposed,B830
835,835,Exposed,B835
843,843,Exposed,B843
846,846,Exposed,B846
847,847,Exposed,B847
848,848,Exposed,B848
85,85,Bagged,B85
86,86,Exposed,B86
87,87,Exposed,B87
91C,91C,Caged,B91C
94C,94C,Caged,B94C
96,96,Exposed,B96
98a,98a,Bagged,B98a
G7,G7,Bagged,BG7
