Flower.ID.Match.Bacteria,Month,Treatment
1.00E+03,June,Exposed
100,May,Bagged
1000,June,Bagged
101,May,Exposed
102,May,Bagged
10C,June,Caged
10C2,June,Caged
111,May,Exposed
113,May,Bagged
114,May,Exposed
118,May,Bagged
122,May,Caged
125,May,Exposed
126,May,Bagged
130,May,Caged
133,May,Caged
137,May,Exposed
14,May,Bagged
141,May,Bagged
142,May,Bagged
144,May,Exposed
147,May,Exposed
150,May,Exposed
154,May,Caged
155,May,Caged
156,May,Exposed
16,May,Bagged
161,May,Bagged
164,May,Exposed
165,May,Bagged
170,May,Bagged
172,May,Exposed
173,May,Caged
175,May,Exposed
182,June,Caged
191,May,Exposed
194,May,Exposed
199,May,Exposed
202,May,Exposed
205,May,Exposed
206,May,Bagged
211,May,Caged
212,May,Exposed
213,May,Bagged
216,May,Exposed
220,May,Caged
223,May,Caged
23,May,Bagged
230,May,Exposed
233,May,Bagged
235,May,Exposed
242,May,Exposed
243,May,Bagged
244,May,Exposed
25,May,Caged
252,May,Exposed
253,June,Exposed
260,May,Caged
268,May,Exposed
27,May,Bagged
272,May,Bagged
278,May,Exposed
28,May,Exposed
284,May,Exposed
286,May,Bagged
289,May,Exposed
293,May,Exposed
296,May,Exposed
298,May,Bagged
300,May,Exposed
304,May,Exposed
309,May,Exposed
314,May,Bagged
318,May,Exposed
329,May,Exposed
32C,June,Caged
335,May,Exposed
338a,May,Exposed
347,May,Caged
348,May,Caged
354,May,Bagged
355,May,Caged
356,May,Exposed
358,May,Bagged
36,May,Bagged
365,May,Caged
366,May,Caged
37,May,Exposed
373,May,Exposed
379,May,Caged
38,May,Caged
380,May,Caged
381,May,Caged
383,May,Caged
396,June,Bagged
397,June,Exposed
402,June,Exposed
404,June,Caged
405,June,Bagged
406,June,Exposed
407,June,Exposed
408,June,Bagged
409,June,Bagged
410,June,Bagged
411,June,Exposed
412,June,Caged
413,June,Bagged
414,June,Exposed
415,June,Exposed
416,June,Caged
418,June,Bagged
419,June,Exposed
420,June,Bagged
421,June,Bagged
422,June,Bagged
423,June,Exposed
424,June,Bagged
427,June,Bagged
44,May,Bagged
441,June,Bagged
448,June,Bagged
449,June,Caged
450,June,Exposed
451,June,Exposed
453,June,Bagged
454,June,Exposed
455,June,Caged
458,June,Exposed
459,June,Bagged
461,June,Bagged
462,June,Bagged
463,June,Bagged
464,June,Caged
