"","trt","OTU_5098","OTU_3950","OTU_2529","OTU_1","OTU_17","OTU_45","OTU_4345","OTU_5778","OTU_5776","OTU_4036","OTU_4191","OTU_4337","OTU_3906","OTU_6","OTU_5823","OTU_20","OTU_162","OTU_3464","OTU_3280","OTU_3393","OTU_5792","OTU_5867","OTU_5735","OTU_3","OTU_580","OTU_3394","OTU_3233","OTU_5741","OTU_3646","OTU_5806","OTU_3505","OTU_5629","OTU_32","OTU_3367","OTU_3492","OTU_5870","OTU_69","OTU_160","OTU_64","OTU_338","OTU_9","OTU_38","OTU_214","OTU_100","OTU_70","OTU_199","OTU_11","OTU_47","OTU_2220","OTU_51","OTU_19","OTU_121","OTU_218","OTU_71","OTU_37","OTU_94","OTU_8","OTU_34","OTU_178","OTU_5838","OTU_36","OTU_92","OTU_550","OTU_62","OTU_3478","OTU_5","OTU_10","OTU_49","OTU_57","OTU_39","OTU_80","OTU_42","OTU_82","OTU_28","OTU_7","OTU_15","OTU_60","OTU_1743","OTU_156","OTU_43","OTU_48","OTU_29","OTU_88","OTU_25","OTU_31","OTU_90","OTU_256","OTU_5819","OTU_52","OTU_5702","OTU_510","OTU_5451","OTU_591","OTU_5972","OTU_3924","OTU_5816","OTU_4837","OTU_276","OTU_5755","OTU_3425","OTU_5802","OTU_293","OTU_5976","OTU_4720","OTU_5242","OTU_5753","OTU_23","OTU_14","OTU_13","OTU_5701","OTU_442","OTU_16","OTU_22","OTU_172","OTU_1011","OTU_5667","OTU_4218","OTU_3225","OTU_5108","OTU_5669","OTU_5498","OTU_3559","OTU_5257","OTU_601","OTU_2168","OTU_3251","OTU_4153","OTU_3496","OTU_5917","OTU_5961","OTU_5970","OTU_5795","OTU_5939","OTU_5796","OTU_4616","OTU_5822","OTU_3174","OTU_5398","OTU_21","OTU_78","OTU_257","OTU_4618","OTU_268","OTU_435","OTU_74","OTU_1028","OTU_5871","OTU_110","OTU_479","OTU_4222","OTU_1934","OTU_434","OTU_4938","OTU_5553","OTU_4161","OTU_1759","OTU_5289","OTU_4227","OTU_253","OTU_18","OTU_267","OTU_233","OTU_164","OTU_5345","OTU_40","OTU_130","OTU_4955","OTU_3780","OTU_3282","OTU_4759","OTU_260","OTU_635","OTU_3115","OTU_5324","OTU_3986","OTU_72","OTU_5412","OTU_55","OTU_117","OTU_157","OTU_66","OTU_2898","OTU_3733","OTU_81","OTU_27","OTU_4598","OTU_107","OTU_1004","OTU_5192","OTU_5616","OTU_345","OTU_225","OTU_131","OTU_5247","OTU_44","OTU_3204","OTU_3561","OTU_4385","OTU_99","OTU_480","OTU_3510","OTU_5953","OTU_3269","OTU_824","OTU_5600","OTU_5302","OTU_3619","OTU_1300","OTU_710","OTU_3346","OTU_339","OTU_571","OTU_1416","OTU_4983","OTU_1484","OTU_4004","OTU_166","OTU_717","OTU_1987"
"HB01","Bird","0","0","4","40","0","1","0","0","0","0","0","0","0","0","0","8","0","0","0","0","1","0","1","64","0","1","2","1","0","1","0","0","0","0","0","0","0","0","0","10","79","0","1","0","0","20","5","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","4","0","48","3","0","5","0","9","0","0","42","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","7","0","2","0","0","0","0","0","0","0","0","0","0","13","0","3","0","0","9","0","4","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB02","Bird","0","0","1","13","0","0","0","0","1","22","0","0","7","6","0","4","0","0","0","1","1","86","0","19","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","14","3","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","6","0","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","2","0","3","0","0","0","0","0","0","0","2","17","0","18","1","3","5","135","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB03","Bird","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","2","448","0","0","14","1","0","4","1","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB04","Bird","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","1","0","0","0","1","2","298","2","120","1","1","1","0","1","0","3","0","0","1","0","0","0","1","0","0","3","0","0","0","0","2","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","0","0","0","2","0","5","0","1","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB05","Bird","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","2","6","1","468","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB06","Bird","0","0","0","496","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB07","Bird","5","0","0","162","0","0","0","0","0","0","0","0","0","1","3","6","0","1","1","0","0","12","0","230","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","2","0","0","0","2","1","0","0","0","1","2","2","5","0","1","3","0","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB08","Bird","4","2","0","0","0","0","0","0","0","3","0","0","5","1","2","8","1","0","2","1","4","253","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","7","1","1","1","0","11","4","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","0","1","1","0","0","6","0","8","5","0","19","0","4","0","1","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB09","Bird","5","0","0","0","2","0","2","0","0","54","1","1","29","15","0","4","0","0","0","1","0","3","3","242","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","21","0","0","3","8","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HB10","Bird","15","0","9","6","0","0","0","0","0","0","0","0","0","10","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","13","0","0","0","2","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","5","0","9","0","0","0","5","16","0","0","1","0","0","20","0","4","1","0","0","5","13","4","0","1","14","0","19","8","1","5","1","0","1","1","5","0","15","0","6","35","0","3","8","8","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
