repseq	Y_OTUS	domain	phylum	class	order	family	genus	species
1000|556	Y_OTU_341	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	unclassified_Didymella
1000|881	Y_OTU_276	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium merismoides
10C2|631	Y_OTU_226	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Pezoloma	unclassified_Pezoloma
220|1019	Y_OTU_46	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Knufia	Sarcinomyces petricola
220|1584	Y_OTU_59	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
220|2038	Y_OTU_320	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	unclassified_Sclerotiniaceae	unclassified_Sclerotiniaceae
220|2040	Y_OTU_351	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium citrinum
220|2403	Y_OTU_60	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii
220|2771	Y_OTU_378	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
220|2900	Y_OTU_350	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_Incertae sedis	Bannoa	Bannoa hahajimensis
220|3441	Y_OTU_402	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis
220|4449	Y_OTU_58	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Udeniomyces	Udeniomyces pyricola
220|7093	Y_OTU_248	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	unclassified_Davidiella
220|7099	Y_OTU_179	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Eupenicillium	unclassified_Eupenicillium
220|989	Y_OTU_233	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia sebi
272|1195	Y_OTU_63	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unclassified_Fusarium
272|199	Y_OTU_240	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Chalara	unclassified_Chalara
272|2202	Y_OTU_397	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia sebi
272|2329	Y_OTU_120	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete	Phanerochaete sordida
272|252	Y_OTU_401	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus luteolus
272|759	Y_OTU_183	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium digitatum
36|2513	Y_OTU_8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Drechslera	Drechslera nobleae
