"","Flower.ID.Match","X","Plant.ID","Flower.ID.Fungi.M","Flower.ID","Nectar.Vol","Fructose","Glucose","Sucrose","Prop_mon","month","X..Morphotypes","Treatment","Amino.Acid","Remaining.Vol","YeastCFU","BactCFU","Flower.Age","Stigma.Age","Acinetobacter","Candida","Chryseobacterium","Cryptococcus","Curtobacterium","Enterococcus","Erwinia","Gluconobacter.cerinus","Metschnikowia","Micrococcus","Moraxellaceae","Pantoea","Pectobacterium.cypripedii","Starmerella","watered","Stigma.x","longitude","latitude","Capture.Date","Recapture","Band.No.","Site","Bird.Tag.No.","Gender","Age","YeastCFU.1","BactCFU.1","Type","Bacteria_lab","Site.1","Stigma.y","Stigma.number","Stigma","Stigma2","Stigma3"
"1","1.00E+03",83,"10","10 E 2","10 E 2",0,NA,NA,NA,NA,"June",0,"Exposed",NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.234206,37.406239,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,1,NA,"1"
"2","100",128,"29","100","100",0,NA,NA,NA,NA,"May",NA,"Bagged",0,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-122.236397,37.407969,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,NA,NA,"NA"
"3","1000",225,"59","1000","1000",1.939393939,170.8787669,92.62719001,547.5922083,0.324875543,"June",0,"Bagged",NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.237484,37.40718,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,0,NA,"0"
"4","101",197,"49","101","101",0.363,NA,NA,NA,NA,"May",NA,"Exposed",0,0.363,1123.36,2899.26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.236445,37.408011,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR","Closed",1,NA,1,"1"
"5","102",196,"49","102","102",10.169,32.8941789,1.995353666,672.1600909,0.049345239,"May",NA,"Bagged",1,6.669,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.236445,37.408011,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR","Open",0,NA,0,"0"
"6","10C",75,"10","10c","10C",3.878787879,55.88402401,38.26191023,163.6339945,0.365218249,"June",0,"Caged",NA,NA,24.45625,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.234206,37.406239,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,0,NA,"0"
"7","10C2",82,"10","10c2","10 C 2",0.96969697,165.227462,103.4401019,199.0723033,0.574395263,"June",1,"Caged",NA,NA,555.7124998,9581.249877,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.234206,37.406239,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,0,NA,"0"
"8","111",284,"66","111","111",0.847,42.53005643,25.10488937,31.11724959,0.684895617,"May",NA,"Exposed",0,0.847,0,4024.98,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.23729,37.407891,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,NA,NA,"NA"
"9","113",207,"53","113","113",5.085,69.78886989,14.14701316,572.5978403,0.127847025,"May",NA,"Bagged",1,3.085,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.237151,37.407266,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,NA,NA,"NA"
"10","114",208,"53","114","114",5.448,62.56720641,38.62816079,100.2366603,0.502379728,"May",NA,"Exposed",1,3.448,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.237151,37.407266,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR","Open",0,NA,0,"0"
"11","118",213,"57","118","118",3.39,42.9669641,7.26971741,324.5176049,0.13405232,"May",NA,"Bagged",1,1.39,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.237465,37.407156,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,NA,NA,"NA"
"12","122",239,"60","122","122",4.358,63.77676005,4.567721883,1323.585863,0.049100504,"May",NA,"Caged",1,2.358,0,1.272073922,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.237518,37.407317,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR",NA,NA,NA,NA,"NA"
"13","125",237,"60","125","125",0.605,186.1195577,43.23565587,2207.004681,0.094138479,"May",NA,"Exposed",0,0.605,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.237518,37.407317,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR","Open",0,NA,0,"0"
"14","126",233,"60","126","126",0,NA,NA,NA,NA,"May",NA,"Bagged",0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-122.237518,37.407317,"",NA,"",NA,"","","",NA,NA,"Nectar","","JR","Open",0,NA,0,"0"
